RecipeId;Alcohol;NonAlcohol;Fruit;Flavour;Chilled;Degree;NoOfLiquid;Title;Ingredient;Step
23;vodka|blue curacao;lemonade|banana juice;;;true;high;4;The Kiss of Smurfette;2 cl vodka|2 cl Blue curacao|5 cl Lemonade|5 cl Banana juice;Pour all ingredients in order in a martini glass or cocktail and serve very very cool!
24;;manguo juice|pineapple juice|passion fruit juice|lime juice;;sugar;false;none;4;Cocktail Praslin Islands;40 cl Manguo juice|30 cl Pineapple juice|20 l Passion fruit juice|10 cl Lime juice|15 g sugar;The whole is mixed in a bottle.Shaken well for about 20 seconds and put in the fridge for it to be chilled before serving.Serve in tall glasses and cocktail with pretty colored straws.
25;rum;apple juice;;cane sugar|cinnamon;false;high;2;Arranged with Apple Rum;25 cl rum|1 l apple juice|10 cl cane sugar|cinnamon;In a bottle, mix 25 cl dark rum with a liter of apple juice and complete with a shot of sugar cane.Flavored with cinnamon or other according to your tastes, then let stand at least one day for the maceration is complete.
26;gin;sparkling water;lime;cane sugar;true;high;2;Gin Fizz Easy;6 cl Gin|3 cl  lime|1 tsp cane sugar|5 cl  sparkling water;Put all ingredients in a shaker and shake vigorously until the walls of the shaker to fog.Pour the contents of the shaker into the two glasses with soda water and then lie down.Serve chilled with crushed ice, a straw and a slice of lime.
27;hard cider|creme de cassis|cointreau;;;;true;low;3;Cider Cocktail;9 cl Hard cider|2 cl Creme de cassis|2 cl cointreau;Mix cassis and Cointreau.Keep cool all ingredients.At the last minute add the cider.
28;dark rum;lemon juice|orange juice;;cane sugar syrup|grenadine;true;high;3;Planter's Punch;4 cl dark rum|2 cl lemon juice|10 cl orange juice|2 cl cane syrup|1 cl grenadine syrup;Pour the rum, grenadine and lemon juice into a mixing glass filled with ice cubes.Shake well.Strain into a highball glass filled with ice cubes.Add the grenadine.
29;vodka;rice milk;coconut;cane sugar|ice cream;true;high;2;Coconut Cocktail;30 cl vodka|1 l rice milk|2 l coconut|30 g  Vanilla ice cream|10 cl  cane sugar|5 ice cubes;Put everything in a blender and enjoy.
30;malibu rum;coconut milk|tamarin juice|coffee;;cane sugar syrup;true;high;4;Walnut Cocktail Coconut Coffee;2 cl malibu rum|2 cl coconut milk|2 cl Tamarin juice|15 cl coffee|1 cl cane sugar syrup|5  ice cubes;Place ingredients in a shaker. Shake vigorously by firmly with both hands the shaker and plugs.Pour into pretty glasses cocktail.Decorer this preparation hazelnut powder.
31;cognac|creme de cassis;apple cider;;;true;high;3;Rinse Drops (cocktail);1 l apple cider|25 cl cognac|25 cl Creme de cassis|ice cubes;In a large bowl, start by putting the creme de cassis, then add the brandy and finally the bottle of cider.Add last ice for the drink fresh.
32;white martini|angostura bitter;grapefruit juice;;;true;low;3;Cocktail MAP;4 cl White martini|1 cl Angostura bitter|8 cl grapefruit juice;Put the flutes in the freezer.Squeeze the grapefruit or open the bottle or carton ...Pour one third martini, two thirds grapefruit juice 1 dash Angostura.For the decoration: put a twist on each glass bread with poppy seeds and sugar baked golden but steeped in love and of course ... MAP
33;white rum;sparkling water;lime;cane sugar syrup|brown sugar|anise basil;true;high;2;Mojito with Basil;5 cl white rum|10 cl sparkling water|5 cl cane sugar syrup|1 tsp brown sugar|1  lime|anise basil|ice cubes;Cut a slice of Lime and settle to the bottom of the glass cocktail.Mettre ice in a clean cloth, and mash with a marteau.Couper basil leaves into small pieces and mix with ice pilee.Remplir glass crushed / basil ice cream 2 tiers.Ajouter 5 cl of rum, 5 cl of liquid cane sugar and the juice of the remaining lime, then fill with water gazeuse.Saupoudrer brown sugar.
34;apricot liqueur|apple liqueur;pear juice;;;true;low;3;Cocktail Orchard;4 cl apricot liqueur|5 cl apple liqueur|12 cl Pear juice|3 ice cubes;In a large cocktail glass, install the 3 ice cubes.Pour each ingredient in the order listed above.Mix well and enjoy!
35;;grapefruit juice|pineapple juice|apple juice;raspberry;;true;none;3;Cocktail Pomenas;20 cl grapefruit juice|20 cl Pineapple juice|20 cl apple juice|4  raspberry|4 ice cubes;Pour the juice into a jug, add the raspberries to give color and ice to cool.Serve chilled.
36;;apple juice;;currant syrup|lemongrass|ginger;true;none;1;Cocktail KidiCana;5 cl apple juice|1 cl Currant syrup|1  lemongrass|1  ginger|5  broken ice;Chop the lemongrass.Place all ingredients in a shaker.Add half of crushed ice.Shake and pour into a glass filled the rest of crushed ice.To your health!
37;vodka|pisang ambon;orange juice;;cane sugar syrup;true;high;3;Cocktail Paradise;10 cl Orange juice|4 cl vodka|2 cl pisang ambon|2 cl cane sugar syrup;Gather the ingredients, except the Pisang ambon in a shaker. Hit.Pour into a cocktail glass, then add Pisang.Serve chilled.
38;cava|vodka;;lime;lime zest;false;high;2;Cava Cocktail Vodka Lemon;10 cl cava|2 cl vodka|2 cl lime|1  lime zest;Mix the vodka and lime syrup.Pour Cava in a flute.Gently stir the mixture vodka lime.Garnish with lime zest.
39;prosecco;soda water;blood orange;;true;low;2;Aperol Spritz: Italian Sparkling Cocktail;8 cl Prosecco|5 cl soda water|5  ice cube|1  blood orange;Prepare the desired amount of cocktail in the proportions!Top with ice and a piece of orange (blood if possible).Health!
40;amber rum|lemon liqueur;;orange;;true;high;2;Limoncello Cocktail;2 oranges|5 cl Amber rum|1 cl lemon liqueur|ice cube;Pour the dark rum in the glass.Press the 2 oranges and add the juice rum.Add the line of Limoncello, stir and add a few ice cubes.It's ready!
41;rum;sparkling water;lime;cane sugar|mint;true;high;2;Cuban Mojito;3  cane sugar|0.5  lime|1 leaf  mint|3 cl  sparkling water|6 cl rum|2 ice cubes;In a medium sized glass (capacity 40 cl), put 3 teaspoons of sugar.Add the juice of 1/2 lime.Cut into 3 or 4 your sprig of mint and put it in the glass (the fact of the cut allows the flavor of the mint better spread).Add a little soda water (about 3 cl) and then with a teaspoon, mix well and crush the mint (insist on branches than on the leaves, otherwise there will be full of little bits of mint rather unpleasant at the time to enjoy your cocktail!).Add about 5 ice cubes.Then pour 6 cl Rum (by paying the mean flow). For the dose rather loaded, count to 5, for the light dose to 4.Finally, fill with soda water.
42;malibu rum;orange juice|grapefruit juice|pineapple juice;lemon;grenadine;false;high;4;Delicious Tropical Cocktail;0.25 cl Orange juice|0.25 cl grapefruit juice|0.25 l Pineapple juice|1  lemon|20 cl malibu rum|5 cl  Grenadine;For 1 glass:$ 5 cl Malibu, then add 1/3 grapefruit, 1/3 orange and 1/3 pineapple, then add a dash of lemon juice 1 dash grenadine for decoration.
43;cointreau|sparkling wine;;lemon;cane sugar syrup;true;low;2;Cocktail Champanise;4 l sparkling wine|0.5 l cointreau|12  lemon|30 cl cane sugar syrup|ice cube;In a large bowl, pour Cointreau, lemon juice with the pulp and sugar syrup cane.Pour sparkling last.Add ice.Serve in glasses cool (the ideal is to refrigerate before).
44;campari|gin|angostura bitter;soft drink;orange;;true;high;4;Negroni Cocktail;3 cl  campari|3 cl  Gin|0.5 cl  Angostura bitter|25 cl  soft drink|ice cube|1 slice Orange;Combine ingredients in a highball glass (tumbler) and serve.
45;;pineapple juice|apple juice;pineapple|apple;powdered sugar;true;none;2;Cocktail Fruit Juice for Children;5  tsp Pineapple juice|3 csp apple juice|2 ice cube|1  pineapple|1 apple|1 tsp powdered sugar;Put the apple juice and pineapple juice in a tall glass and mix.Add sugar and stir again, then add ice.To 5 minutes in the fridge.When serving, put the slices of pineapple and apples on the edge of the glass for decoration.
46;white rum|vermouth;lemon juice;;grenadine;false;high;3;Creole Cream (cocktail);4 cl  white rum|4 cl Vermouth|2 cl  lemon juice|2 cl  grenadine;Pour the rum, vermouth, lemon juice and grenadine.
47;;coconut milk|multivitamin juice|lime juice;lime;;true;none;3;Fruit Cocktail with Lime;10 cl coconut milk|20 cl multivitamin juice|1 tsp Lime juice|ice cube|1  lime;Pour 10 cl of coconut milk 20 cl of multivitamin juice in a shaker.Add a teaspoon of lime juice and a few ice cubes.Mix well and serve in a glass cockail; decorate with a slice of lime.
48;vodka|creme de cafe;whole milk;;;true;high;3;White Russian Cocktail;30 cl vodka|20 cl Creme de cafe|30 cl whole milk|ice cubes;Put in a blender 20 cl cream coffee, vodka 30 cl and 30 cl of milk.Add ice cubes and blend a few seconds so that the milk foam.Enjoy this chilled cocktail!
49;tequila|triple sec;lime juice;;salt;false;high;3;Margarita;5 cl tequila|3 cl triple sec|2 cl lime juice|salt;Rum the rim of a cocktail glass with lime juice, and dip in salt.Shake all ingredients with ice, strain into the glass, and serve.
50;vodka|blue curacao;orange juice;;grenadine;true;high;3;Rainbow;10 cl Orange juice|3 cl vodka|3 cl Grenadine|2 cl Blue curacao;Recipe for 10 glasses. Pour grenadine in a shaker, fill the shaker with ice 2/3, pour the vodka, pour the orange juice. Finish filling the shaker with ice cubes. Carefully pour the curacao, to not mix, pour the mixture into glasses lined all without stopping.Serve in glasses typeThe color of the contents of each glass will be different by creating a beautiful visual effect gradient type arc-en-ciel a glass to another. Also called Rainbow Shot or Double Rainbow.
51;;orange juice;raspberry|currant|grapefruit;;true;none;1;Cocktail Sundays Snow;10 raspberry|2 currant|0.5  grapefruit|1 orange;To the bottom of a pretty glass, raspberries and syrup.Add orange juice and grapefruit hurry.Serve chilled and watch the snow through the window, wondering if, indeed, it will come out today.
52;vodka|triple sec;lime juice|cranberry juice;;ginger;true;high;4;Ginger Cosmo;12 g ginger|3 cl vodka|2 cl triple sec|2 cl Lime juice|2 cl Cranberry juice;This recipe is prepared in a shaker and pestle.Peel the ginger and crush coarsely. The pound in the bottom of the shaker to bring out the maximum juice.Add remaining ingredients with ice, close the shaker and shaker for at least 10 seconds.Pour into a cocktail glass martini kind filtering well.
53;whiskey;;raspberry|pistachio nut;sour cream|coriander;true;high;1;Pink Cocktail Whiskey;400 g raspberry|6  coriander|5 cl Whiskey|15 cl Sour cream|20 g pistachio nut;1. Mix the raspberries with cream and 15 ml water glacee.Repartissez the mixture in glasses.2. Add a dash of whiskey and sprinkle with pistachios concassees.Decorez a rod coriander and keep cool until ready to serve.
54;;grapefruit juice;;brown sugar|mint;true;none;1;Cocktail Grapefruit Mint;1  grapefruit|2  broken ice cube|2 tsp brown sugar|10 mint;Remove grapefruit juice, pour the juice into the blender, add the remaining ingredients and mix everything!
55;;water;banana|apple|kiwi fruit;vanilla sugar|brown sugar;true;none;1;Fruit Cocktail;1  banana|1 apple|2 kiwi fruit|30 cl water|15 g vanilla sugar|15 g Brown sugar;Peel and cut the fruit into pieces.Put them in the blender (or any other container cocktail) and mix everything, adding water little by little, until the desired consistency (I like it when it's a bit thick) .Then add the vanilla sugar and brown sugar, to taste.Mix one last time for the sugar fits well to the mixture.Chill for an hour and enjoy!
56;champagne;lime juice;;mint|lemon zest;true;low;2;Champagne Cocktail Mint Lime;10 cl champagne|ice cube|1 tsp Lime juice|2  mint|1  lemon zest;Put in a glass of ice at will. Add cut in half and full sheet for decoration. Join lime juice and Champagne overwhelm. Let stand 2 minutes time as flavor goes. Then enjoy!
57;vodka;tomato juice|lemon juice;;worcestershire sauce|tabasco|saucecelery salt|pepper;false;high;3;Bloody Mary;4 cl vodka|12 cl tomato juice|0.5 cl lemon juice|0.5 cl worcestershire sauce|tabasco|celery salt|pepper;Combine tomato juice, vodka, lemon juiceSeason with celery salt, pepper and tabasco if you want
58;tequila;orange juice;;grenadine;true;high;2;Tequila Sunrise;6 cl tequila|12 cl orange juice|2 cl grenadine syrup;Pour tequila in a highball glass with ice, and top with orange juiceStirAdd grenadine by tilting glass and pouring grenadine down side by flipping the bottle vertically very quickly
59;white wine|sparkling wine;;raspberry;sugar;false;low;2;Cocktail Drink with Raspberries;1 l white wine|2 l sparkling wine|250 g raspberry|4 tsp sugar;Mix white wine, sparkling wine and sugar.Add frozen raspberries ...Taste very fresh ...
60;campari|noilly prat|gin;;;;true;high;3;Cocktail Cardinal;broken ice cube|3 cl campari|3 cl Noilly Prat|3 cl Gin;In a shaker, fill with ice moitie.Verser ingredients.Hit.Serve in a cocktail glass and add lemon zest.
61;plum brandy;cherry juice|apple juice|pineapple juice;;cane sugar;true;low;4;Cocktail Anapomise;25 cl Cherry juice|25 cl apple juice|25 cl Pineapple juice|2 cl Plum brandy|2 cl cane sugar;Mix all ingredients and serve chilled.
62;white rum;lime juice;;cane sugar syrup;true;high;2;Daiquiri;4 cl white rum|2 cl lime juice|1 cl cane sugar syrup|ice;Pour the rum, lime juice and sugar syrup into a cocktail shaker with ice cubes.Shake well.Strain into a chilled cocktail glass.
63;;grape juice|orange juice|lemon juice;season fruits;sangria syrup;true;none;3;Sangria without Alcohol;8 cl sangria syrup|100 cl grape juice|20 cl orange juice|10 cl lemon juice|season fruits;Mix syrup and juices in a big container.Add cuted season fruits.Put it in the refrigerator for 4 hours before serving
64;;pineapple juice|orange juice;coconut;currant syrup;true;none;2;Cocktail Tropical Sunshine;10 cl Pineapple juice|5 cl Orange juice|2 cl Currant syrup|1 tsp coconut|ice cubes;Pour the juice chilled fruit and blackcurrant syrup in a large glass.Add a few ice cubes and sprinkle with shredded coconut.
65;red martini;sparkling water;lime;mint|sugar;true;low;2;Light Cocktail Martini;1 l  red martini|1 l sparkling mineral water|2  lime|mint|2 tsp sugar;Pour the martini into a large pitcher, add sugar and melt.Mix and chill at least 4 hours (overnight is better).When ready to serve, pour the soda bottle.
66;vodka;orange juice;;;false;high;2;Screwdriver;4 cl vodka|12 cl orange juice;In a glass, mix ingredients together
67;prosecco;litchi juice|berry juice|lemonade;litchi;;false;low;4;Italian Prosecco Cocktail;75 cl Prosecco|20  litchi|30 cl Litchi juice|10 cl berry juice|1 l Lemonade;Mix ingredients just before serving.Pour into tall glasses.Possibly prepare a skewer with a cherry and lychee per person.
68;malibu rum|litchi liqueur;pineapple juice|apple juice;strawberry;;true;high;4;Virevoltage;1 cl malibu rum|1 cl Litchi liqueur|5 cl  Pineapple juice|5 cl  apple juice|2 cl strawberry syrup;In a cocktail glass filled with ice cubes, put the Malibu and Soho.Fill half glass of pineapple juice and half apple juice, add a drop of strawberry syrup or grenadine.Serve chilled.Cokctail good at all!
69;;lime juice|lemon juice;lemon;mint|cane sugar;false;none;2;Lemon-mint Cocktail (without alcohol);4 cl mint|1  tsp cane sugar|2 cl Lime juice|3 cl lemon juice|1  mint|1  lemon slice;Place in a shaker, with ice, mint syrup, sugar syrup, and lemon juice. Shake well.Pour into a glass, garnish with a sprig of mint and a slice of lemon.
70;champagne|rice wine;;;coriander;false;low;2;Champagne Cocktail and Sake;75 cl champagne|16 cl Rice wine|4 sprig coriander;In a champagne flute, pour 4 cl sake and fill with Champagne.Add a sprig of cilantro glass.To your health.
71;;grapefruit juice;;lime sorbet|mint syrup|mint;false;none;1;Frosty Lime;1 scoop of lime sorbet|2 cl grapefruit juice|2 cl mint syrup|fresh mint;Mix the sorbet with the juice and the syrup.Serve in a glass with fresh mint decoration
72;sparkling wine|blue curacao|triple sec;;;lemon syrup|orange syrup|cane sugar;false;low;3;Cocktail Saltwater;4.5 l sparkling wine|20 cl Blue curacao|70 cl triple sec|35 cl Lemon syrup|35 cl Orange syrup|25 cl cane sugar;In a large bowl mix the triple sec, curacao, the pulco lemon, orange pulco and sugar cane.Then add bottles of sparkling fresh well.Serve immediately.
73;grand marnier;lemon juice;;;false;low;2;Grand Marnier Sour (cocktail);3 cl grand marnier|3 cl lemon juice;In a shaker put Grand Marnier and lemon juice, and serve hit dan a large cocktail glass
74;calvados|creme de cassis|champagne;apple juice;apple|lemon|blackcurrant|pineapple;;true;high;4;Amber Apple Cocktail;1  apple|1  lemon|6  ice cube|10 cl apple juice|5 cl calvados|10 cl Creme de cassis|7 cl champagne|blackcurrant|parts of apple|part of pineapple;Cut an apple into thin slices and sprinkle with lemon juice. Book.6 Put ice in your shaker, pour 10 cl apple juice 5 cl and 10 cl calvados creme de cassis.Shake for 10 seconds.Divide into 4 cocktail glasses, then fill with champagne.Decorate blackcurrant, apple and pineapple.
75;cachaca;;lime;granulated sugar;true;low;1;Caipirinha;4 cl cachaca|1/2 lime|1 teaspoon white sugar|1 cup ice cubes;In a large rocks glass squeeze and drop in 2 eighths of lime.Add sugar, crush and mix with a spoon.Pour in the cachaca and plenty of ice.Stir well.
76;whiskey;cranberry juice;;;false;high;2;Whisky Cocktail Cranberries;3 cl  Whiskey|6 cl  Cranberry juice;Just mix everything and ... Cheers!
77;blue curacao|white rum|tequila|martini;;;cane sugar;true;high;4;Aquarium;3 cl Blue curacao|3 cl white rum|3 cl tequila|3 cl martini|10 g  cane sugar;Mixing in a transparent container, resembling as much as possible in an aquarium, if you do not! Mix.Add ice cubes, and place in the fridge.Decorate your container, incorporating elements of decoration.The aquarium should be surprising indeed! Proportions are adapted according to the number of people.This cocktail normally drink through a straw.
78;cremant;;melon|lemon;cane sugar;true;low;1;Melon Cocktail Bubbles;2  melon|1 l Cremant|10 cl cane sugar|1  lemon|ice cube;Remove the seeds of melons and melon mix.Squeeze the lemon.Mix it with sparkling wine, then add ice cubes and sweeten to taste.Serve immediately.
79;;ananas juice;strawberry;orgeat syrup|strawberry syrup;false;none;1;Le Vandetta;15 cl ananas juice|2 cl orgeat syrup|2 cl strawberry syrup|5 strawberry;Wash and hull the strawberriesMix all the ingredients and serve in a glass quickly
80;;strawberry juice|grapefruit juice|lemonade;lime|lemon;fruit syrup;true;none;3;Pink 3x6 (cocktail);3  lime|3  lemon|50 cl Strawberry juice|50 cl grapefruit juice|3 cl fruit syrup|50 cl Lemonade|ice cubes;Press three limes and three lemons, put the juice in a bowl.Add the juice of raspberry and pink grapefruit.Pour three tablespoons of rose syrup.Mix and keep preparing fresh.Just before serving, pour the lemonade well and add ice cubes.
81;white rum;sparkling water;lime;mint|sugar;true;high;2;Mojito;6 cl white rum|8 fresh mint leaves|1/2 lime|2 tsp sugar|10 cl sparkling water|ice cubes;Place mint leaves, the sugar, and the cubed lemon into a glass.Use a muddler to crush the mint and lime to release the mint oils and lime juice.Fill the glass almost to the top with ice.Pour the rum over the ice, and fill the glass with carbonated water.
82;liqueur;apricot juice|apple juice|sparkling water;;grenadine;false;low;4;Cocktail Pomabricotine;45 cl Apricot juice|45 cl apple juice|35 cl sparkling water|3 cl liqueur|5 cl Grenadine syrup);Mix all ingredients, chill and add fresh sparkling water at the last moment to keep the bubbly.
83;vodka;;lemon|pear;;false;high;1;EssaiCCC;2 lemon|3 pear|4 vodka;{{Preparationtext=* Preparation text
84;malibu rum;guava juice;currant|cherry;;true;high;2;Baywatch;50 cl malibu rum|50 cl cherry|1 l guava juice|10 currant;Mix all ingredients together in a large pitcher.Place in the fridge at least 3 hours before serving.Clink clink!
85;;pineapple juice|passion fruit juice|lemon juice;;grenadine;true;none;3;Bora Bora;10 cl pineapple juice|6 cl passion fruit juice|2 cl grenadine syrup|1 cl lemon juice|3 ice cubes;Make this recipe in a shaker. Serve in a glass over ice with a slice of orange.
86;;water;banana|apple|kiwi fruit;vanilla sugar|brown sugar;true;none;1;Cocktail de Fruits;1 banana|1 apple|2  kiwi fruit|30 cl  water|1 tsp vanilla sugar|3 tsp Brown_sugar;Peel and cut the fruit into pieces.Put them in the blender (or any other container cocktail) and mix everything, adding water little by little, until the desired consistency (I like it when it's a bit thick) .Then add the vanilla sugar and brown sugar, to taste.Mix one last time for the sugar fits well to the mixture.Chill for an hour and enjoy!
87;whiskey|coffee liqueur;rice milk;;cane sugar;true;high;3;Cocktail Latte;4 cl coffee liqueur|4 cl Whiskey|30 cl rice milk|2 cl cane sugar|4  ice cubes;In a shaker, pour all ingredients 2 ice cubes. (Spreading other ice cubes in the glass). Shake the shaker until the ice is melted quasimment.Pour into a large glass or flared to obtain a creamy foam.
88;;water|lemonade;kumquat|litchi|clementine orange|orange;;true;none;2;Cocktail Kumquat and Lychee;5  kumquat|5  litchi|1  clementine|0.5 orange|1 l water|1 l Lemonade;Mix all the fruit in a blender and water until blended.Add a liter of lemonade.Refrigerate 1 hour.
89;tequila;guava juice|pineapple juice|apple juice;;vanilla sugar|mint;true;high;4;Mexican Cocktail in My Way;40 cl tequila|1 l guava juice|1 l Pineapple juice|30 cl apple juice|15 g  vanilla sugar|3 leaf mint;Combine guava juice and pineapple.Add tequila and apple juice.Mix.Add the vanilla sugar and shake until the sugar is melted.Chop the mint leaves and incorporate cocktail.Reserve in the fridge for 12-24 hours.Attention alcohol tequila fades quickly.We do feel almost at the end of 48 hours, so do not prepare too soon.Filter the mixture and serve chilled.
90;;orange juice|lemonade;strawberry;strawberry syrup;true;none;2;Fraisalia Cocktail (without alcohol);500 g strawberry|50 cl Orange juice|10 cl strawberry syrup|2 l Lemonade|10 ice cubes;Place in a bowl chopped strawberries, orange juice and strawberry syrup.Refrigerate at least 2 hours.When ready to serve, add the lemonade and ice cubes.
91;;grape juice|orange juice|schweppes;raspberry|lemon|berry;;true;none;3;Sweet Pink Cocktail;150 g raspberry|1  lemon|8  ice cubes|10 cl grape juice|15 cl Orange juice|10 cl  Schweppes|berry;Pour into the bowl of a mixer raspberries and lemon juice. Mix for fine grout.Chill a cocktail shaker with ice 6. Discard the water and then turn 2 ice cubes, raspberry filtered grape juice and orange juice.Add 10 seconds, then pour into 4 tall glasses.Fill with Schweppes.Decorate with berries.
92;vodka|pear liqueur;peach juice;;strawberry syrup;false;high;3;Red Cocktail;2 cl pear liqueur|2 cl  strawberry syrup|10 cl  peach juice|4 cl  vodka;Mix in a glass the following proportions:40% of lychee liqueur20% of strawberry liqueur40% orange juice.And lively aperitif!
